,,Average expenditure per household ($),,,,,,,,,,,,,,,,,,,,,,,,
Geography,Statistic,Lowest quintile,,,,,Second quintile,,,,,Third quintile,,,,,Fourth quintile,,,,,Highest quintile,,,,
Newfoundland and Labrador,"Household expenditures, summary-level categories",2017,2018,2019,2020,2021,2017,2018,2019,2020,2021,2017,2018,2019,2020,2021,2017,2018,2019,2020,2021,2017,2018,2019,2020,2021
Newfoundland and Labrador,Total expenditure,"26,869",..,"28,590",..,"34,166","44,208",..,"46,828",..,"47,803","62,220",..,"70,096",..,"64,807","99,979",..,"99,461",..,"98,139","163,431",..,"162,002",..,"169,060"
Newfoundland and Labrador,Food expenditures,"4,067",..,"5,158",..,"7,409","6,373",..,"7,618",..,"8,403","7,345",..,"9,568",..,"9,597","10,032",..,"10,812",..,"14,001","12,050",..,"14,001",..,"18,121"
Newfoundland and Labrador,Shelter,"7,483",..,"7,962",..,"8,245","9,791",..,"9,741",..,"11,186","11,733",..,"12,366",..,"13,624","17,238",..,"17,826",..,"16,743","24,934",..,"24,162",..,"23,829"
Newfoundland and Labrador,Household operations,"2,286",..,"2,587",..,"3,593","3,278",..,"3,428",..,"3,556","4,159",..,"4,789",..,"5,317","5,705",..,"6,571",..,"6,540","8,228",..,"7,776",..,"9,786"
Newfoundland and Labrador,Household furnishings and equipment,684,..,555,..,"1,412","1,500",..,"1,315",..,"2,642","1,781",..,"1,901",..,"2,431","2,677",..,"2,825",..,"4,162","3,744",..,"3,397",..,"6,225"
Newfoundland and Labrador,Clothing and accessories,"1,160",..,"1,122",..,618,"2,044",..,"1,932",..,"1,311","2,495",..,"2,876",..,"2,181","3,849",..,"3,509",..,"2,457","6,202",..,"5,300",..,"3,871"
Newfoundland and Labrador,Private transportation,"4,987",..,"3,990",..,"4,928","8,793",..,"8,052",..,"7,517","10,747",..,"12,719",..,"8,484","17,608",..,"14,400",..,"12,741","20,013",..,"17,444",..,"16,247"
Newfoundland and Labrador,Public transportation,342,..,464,..,153,554,..,542,..,165,558,..,786,..,272,"1,084",..,"1,377",..,647,"2,285",..,"2,509",..,997
Newfoundland and Labrador,Health care,"1,090",..,"1,009",..,"1,461","1,814",..,"1,733",..,"2,296","2,500",..,"2,727",..,"2,404","2,832",..,"3,152",..,"2,576","4,032",..,"3,645",..,"3,416"
Newfoundland and Labrador,Personal care,419,..,378,..,622,649,..,782,..,"1,077",960,..,"1,066",..,"1,419","1,343",..,"1,348",..,"1,800","2,458",..,"1,890",..,"2,227"
Newfoundland and Labrador,Recreation,"1,109",..,"1,080",..,"1,340","1,798",..,"2,752",..,"2,019","3,011",..,"3,681",..,"3,230","5,973",..,"4,993",..,"5,383","8,888",..,"8,479",..,"6,581"
Newfoundland and Labrador,Education,F,..,"1,038",..,F,F,..,F,..,F,F,..,238,..,562,"1,097",..,779,..,969,"2,426",..,"1,820",..,"3,039"
Newfoundland and Labrador,Reading materials and other printed matter,56,..,39,..,74,117,..,60,..,100,101,..,114,..,114,119,..,114,..,F,199,..,222,..,228
Newfoundland and Labrador,"Tobacco products, alcoholic beverages and cannabis for non-medical use",..,..,"1,337",..,"1,491",..,..,"1,392",..,"1,110",..,..,"2,102",..,"1,434",..,..,"2,498",..,"2,616",..,..,"2,596",..,"3,601"
Newfoundland and Labrador,Tobacco products and alcoholic beverages (Terminated),705t,..t,..t,..t,..t,510t,..t,..t,..t,..t,"1,034t",..t,..t,..t,..t,"1,526t",..t,..t,..t,..t,"2,315t",..t,..t,..t,..t
Newfoundland and Labrador,Games of chance,92,..,F,..,F,F,..,176,..,F,211,..,410,..,94,255,..,254,..,309,355,..,467,..,F
Newfoundland and Labrador,Miscellaneous expenditures,567,..,605,..,577,730,..,744,..,508,"1,085",..,"1,174",..,930,"1,755",..,"1,804",..,"2,063","3,025",..,"2,832",..,"2,177"
Prince Edward Island,Total expenditure,"34,514",..,"31,865",..,"44,722","47,496",..,"49,162",..,"48,210","57,712",..,"64,392",..,"67,357","81,775",..,"89,623",..,"91,498","133,473",..,"140,102",..,"141,190"
Prince Edward Island,Food expenditures,"5,454",..,"5,637",..,"7,256","6,101",..,"6,336",..,"6,324","6,517",..,"8,118",..,"7,620","8,888",..,"10,905",..,"11,694","13,847",..,"15,071",..,"18,897"
Prince Edward Island,Shelter,"9,471",..,"8,370",..,"12,412","11,337",..,"13,136",..,"12,230","11,681",..,"12,226",..,"14,598","14,536",..,"16,615",..,"18,735","19,931",..,"19,784",..,"19,654"
Prince Edward Island,Household operations,"2,502",..,"3,656",..,"3,667","3,461",..,"3,553",..,"4,267","4,767",..,"5,308",..,"5,452","5,147",..,"7,259",..,"7,014","7,526",..,"8,825",..,"8,337"
Prince Edward Island,Household furnishings and equipment,"1,750",..,"1,243",..,"2,383","1,857",..,"1,470",..,"2,399","1,475",..,"1,737",..,"2,975","1,610",..,"2,146",..,"3,840","3,501",..,"3,217",..,"4,068"
Prince Edward Island,Clothing and accessories,"1,665",..,917,..,"1,108","2,019",..,"1,927",..,861,"2,015",..,"2,363",..,"1,882","2,947",..,"2,948",..,"2,500","4,583",..,"4,429",..,"2,777"
Prince Edward Island,Private transportation,"5,335",..,"4,610",..,"6,909","9,195",..,"7,210",..,"5,554","10,924",..,"11,950",..,"7,696","13,748",..,"12,463",..,"10,956","17,050",..,"18,355",..,"15,323"
Prince Edward Island,Public transportation,641,..,F,..,256,524,..,663,..,189,550,..,479,..,301,765,..,937,..,329,"1,627",..,"2,013",..,587
Prince Edward Island,Health care,"1,249",..,"1,229",..,"2,153","2,125",..,"2,199",..,"2,293","3,018",..,"2,540",..,"2,398","4,117",..,"3,381",..,"2,831","3,926",..,"3,819",..,"2,873"
Prince Edward Island,Personal care,445,..,517,..,813,556,..,726,..,747,663,..,856,..,"1,262","1,043",..,"1,219",..,"1,367","1,589",..,"1,607",..,"1,800"
Prince Edward Island,Recreation,"1,718",..,"1,039",..,"2,313","1,941",..,"2,160",..,"2,033","1,816",..,"2,906",..,"3,780","3,481",..,"4,310",..,"3,372","4,856",..,"5,994",..,"6,140"
Prince Edward Island,Education,F,..,F,..,F,F,..,F,..,F,622,..,F,..,"1,522",F,..,690,..,"1,471","1,916",..,"2,252",..,"2,488"
Prince Edward Island,Reading materials and other printed matter,59,..,F,..,86,F,..,146,..,123,105,..,167,..,200,124,..,224,..,183,211,..,315,..,F
Prince Edward Island,"Tobacco products, alcoholic beverages and cannabis for non-medical use",..,..,F,..,"1,477",..,..,"1,572",..,F,..,..,"1,896",..,"2,310",..,..,"1,869",..,"1,836",..,..,"1,629",..,"3,757"
Prince Edward Island,Tobacco products and alcoholic beverages (Terminated),Ft,..t,..t,..t,..t,Ft,..t,..t,..t,..t,963t,..t,..t,..t,..t,"1,234t",..t,..t,..t,..t,Ft,..t,..t,..t,..t
Prince Edward Island,Games of chance,F,..,F,..,F,F,..,F,..,F,F,..,F,..,F,F,..,251,..,F,F,..,160,..,F
Prince Edward Island,Miscellaneous expenditures,788,..,404,..,693,840,..,"1,201",..,780,692,..,"1,115",..,"1,302","1,497",..,"1,794",..,"1,229","2,454",..,"2,457",..,"1,888"
Nova Scotia,Total expenditure,"29,916",..,"35,432",..,"33,326","43,213",..,"48,363",..,"51,079","61,704",..,"71,087",..,"70,052","87,664",..,"91,695",..,"95,454","142,704",..,"159,475",..,"157,631"
Nova Scotia,Food expenditures,"4,393",..,"5,151",..,"4,998","5,960",..,"6,644",..,"6,766","8,241",..,"9,080",..,"9,283","9,576",..,"10,951",..,"11,327","11,720",..,"13,555",..,"14,592"
Nova Scotia,Shelter,"8,307",..,"9,370",..,"10,255","10,257",..,"11,880",..,"13,159","12,283",..,"16,272",..,"15,283","15,598",..,"18,077",..,"18,652","23,676",..,"24,531",..,"25,118"
Nova Scotia,Household operations,"2,394",..,"3,038",..,"2,983","3,658",..,"4,143",..,"4,275","4,669",..,"5,338",..,"5,412","5,303",..,"6,544",..,"7,048","7,128",..,"8,519",..,"8,822"
Nova Scotia,Household furnishings and equipment,858,..,"1,062",..,"1,432","1,361",..,"1,343",..,"1,902","1,240",..,"1,950",..,"2,401","2,213",..,"2,305",..,"3,305","3,526",..,"4,054",..,"6,084"
Nova Scotia,Clothing and accessories,"1,049",..,"1,713",..,788,"1,682",..,"1,746",..,"1,281","2,417",..,"2,283",..,"1,873","3,434",..,"2,737",..,"2,546","5,014",..,"4,860",..,"3,283"
Nova Scotia,Private transportation,"4,690",..,"5,455",..,"4,849","7,296",..,"5,382",..,"7,199","10,407",..,"10,451",..,"11,032","12,833",..,"12,432",..,"11,879","16,727",..,"17,417",..,"16,535"
Nova Scotia,Public transportation,531,..,590,..,225,476,..,651,..,302,594,..,748,..,303,883,..,"1,054",..,270,"1,587",..,"2,311",..,681
Nova Scotia,Health care,"1,138",..,"1,678",..,"1,442","1,737",..,"2,112",..,"2,325","2,567",..,"2,638",..,"2,277","2,636",..,"2,771",..,"2,963","3,605",..,"3,896",..,"3,996"
Nova Scotia,Personal care,511,..,548,..,615,757,..,797,..,942,811,..,942,..,"1,103","1,442",..,"1,316",..,"2,004","1,715",..,"2,124",..,"2,144"
Nova Scotia,Recreation,"1,317",..,"1,666",..,"1,475","2,167",..,"2,115",..,"2,178","2,291",..,"3,579",..,"3,086","4,628",..,"3,845",..,"4,406","6,047",..,"7,754",..,"7,986"
Nova Scotia,Education,"1,480",..,"1,293",..,F,F,..,"1,838",..,"1,415",669,..,"1,173",..,803,"1,249",..,"1,236",..,"1,185","2,705",..,"2,802",..,"3,130"
Nova Scotia,Reading materials and other printed matter,F,..,65,..,64,104,..,130,..,128,110,..,143,..,172,F,..,149,..,166,223,..,251,..,222
Nova Scotia,"Tobacco products, alcoholic beverages and cannabis for non-medical use",..,..,"1,125",..,"1,190",..,..,"1,760",..,"1,726",..,..,"2,128",..,"1,631",..,..,"2,238",..,"2,696",..,..,"2,290",..,"2,545"
Nova Scotia,Tobacco products and alcoholic beverages (Terminated),960t,..t,..t,..t,..t,843t,..t,..t,..t,..t,"1,038t",..t,..t,..t,..t,"1,871t",..t,..t,..t,..t,"1,846t",..t,..t,..t,..t
Nova Scotia,Games of chance,F,..,F,..,F,154,..,186,..,F,71,..,137,..,F,169,..,245,..,F,197,..,224,..,F
Nova Scotia,Miscellaneous expenditures,579,..,694,..,362,721,..,"1,126",..,745,"1,038",..,"1,025",..,"1,137","1,949",..,"2,068",..,"1,622","3,167",..,"2,902",..,"2,491"
New Brunswick,Total expenditure,"27,348",..,"30,612",..,"32,072","39,210",..,"46,064",..,"47,499","57,125",..,"65,577",..,"64,372","82,738",..,"93,560",..,"85,965","146,291",..,"147,657",..,"152,437"
New Brunswick,Food expenditures,"4,474",..,"5,141",..,"6,016","6,242",..,"6,336",..,"8,244","7,538",..,"9,214",..,"9,123","8,897",..,"11,140",..,"10,659","12,446",..,"15,560",..,"15,614"
New Brunswick,Shelter,"7,780",..,"8,477",..,"9,313","8,614",..,"10,641",..,"11,099","10,370",..,"12,536",..,"13,290","14,479",..,"16,135",..,"15,009","22,092",..,"20,659",..,"24,651"
New Brunswick,Household operations,"2,190",..,"2,429",..,"2,834","3,191",..,"3,827",..,"3,836","4,008",..,"4,904",..,"5,203","5,599",..,"6,478",..,"5,909","7,866",..,"9,203",..,"8,343"
New Brunswick,Household furnishings and equipment,"1,005",..,959,..,"1,607","1,016",..,"1,738",..,"3,010","1,462",..,"2,232",..,"3,123","3,035",..,"2,847",..,"4,602","4,303",..,"3,800",..,"5,566"
New Brunswick,Clothing and accessories,979,..,948,..,895,"1,472",..,"1,613",..,"1,249","2,171",..,"1,972",..,"2,218","3,277",..,"3,127",..,"2,190","5,515",..,"5,260",..,"3,523"
New Brunswick,Private transportation,"4,667",..,"4,860",..,"3,481","7,063",..,"7,953",..,"5,779","11,528",..,"11,923",..,"8,920","12,071",..,"15,163",..,"10,533","22,585",..,"20,082",..,"17,960"
New Brunswick,Public transportation,212,..,309,..,193,265,..,341,..,146,261,..,471,..,347,462,..,717,..,228,"1,183",..,"1,074",..,472
New Brunswick,Health care,"1,199",..,"1,582",..,"1,252","2,053",..,"2,296",..,"2,272","2,636",..,"3,299",..,"2,622","3,485",..,"3,503",..,"3,010","3,548",..,"3,876",..,"3,826"
New Brunswick,Personal care,437,..,454,..,899,518,..,681,..,924,768,..,944,..,"1,108",977,..,"1,308",..,"1,191","1,847",..,"2,030",..,"1,988"
New Brunswick,Recreation,"1,107",..,"1,825",..,"1,724","1,624",..,"2,059",..,"1,852","2,024",..,"3,029",..,"2,894","4,377",..,"5,436",..,"5,221","7,321",..,"7,721",..,"8,690"
New Brunswick,Education,F,..,F,..,F,F,..,530,..,"1,155",342,..,355,..,F,656,..,"1,016",..,"1,233","2,484",..,"2,257",..,"2,673"
New Brunswick,Reading materials and other printed matter,F,..,F,..,52,F,..,71,..,128,125,..,86,..,129,166,..,166,..,250,215,..,265,..,267
New Brunswick,"Tobacco products, alcoholic beverages and cannabis for non-medical use",..,..,"1,040",..,"1,630",..,..,"1,519",..,"1,400",..,..,"1,758",..,"1,825",..,..,"2,125",..,"2,145",..,..,"2,340",..,"2,544"
New Brunswick,Tobacco products and alcoholic beverages (Terminated),Ft,..t,..t,..t,..t,761t,..t,..t,..t,..t,"1,403t",..t,..t,..t,..t,"1,527t",..t,..t,..t,..t,"1,186t",..t,..t,..t,..t
New Brunswick,Games of chance,F,..,166,..,101,F,..,264,..,F,124,..,269,..,122,293,..,212,..,F,F,..,387,..,97
New Brunswick,Miscellaneous expenditures,699,..,509,..,509,857,..,631,..,747,990,..,833,..,802,"1,557",..,"1,437",..,"1,408","2,403",..,"2,099",..,"2,504"
Quebec,Total expenditure,"29,230",..,"28,051",..,"31,526","42,945",..,"44,942",..,"45,308","63,579",..,"66,864",..,"64,365","82,997",..,"96,057",..,"96,560","150,869",..,"162,016",..,"164,291"
Quebec,Food expenditures,"4,337",..,"4,668",..,"5,516","6,287",..,"7,601",..,"6,587","8,446",..,"9,362",..,"8,478","9,491",..,"12,480",..,"11,587","12,429",..,"15,099",..,"16,468"
Quebec,Shelter,"9,436",..,"9,082",..,"9,246","10,825",..,"11,233",..,"10,564","12,824",..,"14,235",..,"14,353","15,679",..,"17,772",..,"19,697","24,175",..,"26,750",..,"25,527"
Quebec,Household operations,"2,438",..,"2,082",..,"2,830","2,785",..,"3,131",..,"3,163","3,843",..,"4,055",..,"3,987","4,797",..,"5,447",..,"5,539","6,722",..,"7,263",..,"7,216"
Quebec,Household furnishings and equipment,575,..,793,..,"1,487","1,588",..,"1,207",..,"2,184","2,221",..,"2,092",..,"2,606","1,784",..,"2,672",..,"3,663","3,098",..,"3,728",..,"5,582"
Quebec,Clothing and accessories,"1,141",..,"1,021",..,763,"2,011",..,"1,921",..,"1,493","2,650",..,"2,858",..,"1,991","3,573",..,"3,638",..,"2,896","5,617",..,"5,620",..,"3,770"
Quebec,Private transportation,"3,869",..,"2,978",..,"3,658","5,554",..,"5,486",..,"6,028","9,920",..,"9,036",..,"7,316","10,636",..,"12,634",..,"11,480","16,442",..,"17,388",..,"16,396"
Quebec,Public transportation,492,..,590,..,270,596,..,621,..,338,776,..,868,..,423,875,..,"1,160",..,487,"1,723",..,"1,669",..,628
Quebec,Health care,"1,140",..,"1,268",..,"1,400","1,989",..,"1,960",..,"2,119","2,860",..,"3,058",..,"2,447","3,482",..,"3,621",..,"3,606","4,838",..,"4,903",..,"4,910"
Quebec,Personal care,452,..,608,..,732,954,..,727,..,799,"1,147",..,"1,284",..,"1,335","1,250",..,"1,599",..,"1,837","1,680",..,"1,958",..,"2,515"
Quebec,Recreation,"1,723",..,"1,422",..,"1,370","2,129",..,"2,224",..,"2,640","3,234",..,"2,915",..,"2,989","4,519",..,"4,111",..,"4,876","6,931",..,"8,195",..,"7,131"
Quebec,Education,F,..,504,..,484,564,..,411,..,473,790,..,807,..,797,"1,059",..,905,..,"1,057","2,123",..,"2,052",..,"2,396"
Quebec,Reading materials and other printed matter,49,..,87,..,154,100,..,F,..,151,109,..,127,..,118,115,..,149,..,206,270,..,184,..,259
Quebec,"Tobacco products, alcoholic beverages and cannabis for non-medical use",..,..,"1,073",..,"1,157",..,..,"1,541",..,"1,379",..,..,"1,601",..,"1,898",..,..,"2,532",..,"2,515",..,..,"2,719",..,"2,342"
Quebec,Tobacco products and alcoholic beverages (Terminated),"1,000t",..t,..t,..t,..t,"1,055t",..t,..t,..t,..t,"1,570t",..t,..t,..t,..t,"1,825t",..t,..t,..t,..t,"3,037t",..t,..t,..t,..t
